State,Name,Poverty Rate,Unemployment Rate,Year
01,Alabama,18.768905779030998,3.922833799063261,2014
02,Alaska,10.943871041301314,3.9585629509781035,2014
04,Arizona,17.812728961399895,3.669398902233148,2014
05,Arkansas,18.334940797992427,3.1006594257154116,2014
06,California,16.130656529862765,4.222838734617615,2014
08,Colorado,11.777479122890677,2.90593528665579,2014
10,Delaware,12.131926200334753,3.4038609939569096,2014
11,District of Columbia,16.795746805627015,5.098551661650678,2014
09,Connecticut,10.419951527479393,4.283648489981169,2014
12,Florida,16.1442067647208,3.843912851650483,2014
13,Georgia,17.806357573472546,3.9950905896729467,2014
16,Idaho,14.560186091587212,2.6044623803277407,2014
15,Hawaii,11.04066679769309,2.668782813841744,2014
17,Illinois,14.009734033715873,4.180223250816345,2014
18,Indiana,14.767915923572673,3.5558610883519495,2014
19,Iowa,11.837820545417213,2.3707438964496452,2014
20,Kansas,13.17869257832502,2.6426117441988195,2014
21,Kentucky,18.523846499467425,3.5824071697084623,2014
22,Louisiana,19.28142950175453,3.4970608704778567,2014
23,Maine,13.742764581918955,3.056863112167682,2014
24,Maryland,9.86910697347085,3.8696829047954733,2014
25,Massachusetts,11.22593325711358,3.7031266307390154,2014
26,Michigan,15.831114755511093,4.044419522058649,2014
27,Minnesota,11.202760110408814,2.587200369128851,2014
28,Mississippi,20.811508313574894,4.373131103087126,2014
29,Missouri,14.98498661436321,3.3678239075900427,2014
30,Montana,15.040754060018816,2.5104071107359567,2014
31,Nebraska,12.081298833964123,2.2722259810375003,2014
32,Nevada,15.030472695739036,4.478674396348983,2014
33,New Hampshire,8.892210130591124,2.8536802096452174,2014
34,New Jersey,10.88480590277098,3.981405600136493,2014
35,New Mexico,20.91287186440938,3.9951150092156973,2014
36,New York,15.511510122921203,3.7030973056270446,2014
37,North Carolina,16.780893414336575,4.066859051380315,2014
38,North Dakota,11.124543937513016,1.64033742538696,2014
39,Ohio,15.40240550352794,3.6266611052475284,2014
40,Oklahoma,16.0864310448728,2.6903720451329804,2014
41,Oregon,16.232020288954896,3.877701065351481,2014
42,Pennsylvania,13.155427427517608,3.5800697400034673,2014
44,Rhode Island,13.798306059764608,4.1378996619511685,2014
45,South Carolina,17.4622481780584,3.8875675067180797,2014
46,South Dakota,13.69508014182319,2.1050780906613533,2014
47,Tennessee,17.884318937201726,3.755791412646625,2014
48,Texas,16.78122583416126,2.9659095807472045,2014
50,Vermont,11.67466268302259,2.9918826867891766,2014
49,Utah,11.549823949285432,2.4247834280584266,2014
51,Virginia,11.450419268415978,3.1290890815824435,2014
53,Washington,12.937975198009497,3.287177141497664,2014
54,West Virginia,17.71385150508613,2.9863386235722786,2014
55,Wisconsin,12.822610395646493,2.839464745854323,2014
56,Wyoming,10.91734528454018,2.3071010505809264,2014
72,Puerto Rico,45.779911323338396,6.687301336349907,2014
28,Mississippi,21.2920152937524,3.9310130256224824,2015
29,Missouri,14.390897471132567,2.6666296276327848,2015
30,Montana,14.258884030092483,2.2589692230690965,2015
31,Nebraska,12.199252184643944,1.7273585452934568,2015
32,Nevada,14.467845906646673,3.978698269883027,2015
33,New Hampshire,7.969740148864279,2.3792131116001105,2015
34,New Jersey,10.561650223101932,3.4550072655621284,2015
35,New Mexico,20.038952400090356,3.3813580009486315,2015
36,New York,15.003350964859147,3.308203243810768,2015
37,North Carolina,16.009824748113125,3.3435588991996457,2015
38,North Dakota,10.591496152870551,1.4381817028832333,2015
39,Ohio,14.41792828867079,3.2195245105598924,2015
40,Oklahoma,15.6168554085584,2.5844864340540243,2015
41,Oregon,15.06657893554617,3.4187090172021333,2015
42,Pennsylvania,12.731846264749947,3.1911103633406688,2015
44,Rhode Island,13.35181927827185,3.2905486898583542,2015
45,South Carolina,16.149743083641706,3.4841485527596605,2015
46,South Dakota,13.28772500812493,2.1135300168089937,2015
47,Tennessee,16.331078334481514,3.0221509661910773,2015
48,Texas,15.492006768037731,2.705700664389831,2015
50,Vermont,9.793911590596158,2.0522584746710284,2015
49,Utah,11.076868233086408,1.9425758840609508,2015
51,Virginia,10.847509952590919,2.8187784482224907,2015
53,Washington,11.963166098842303,3.004776195753876,2015
54,West Virginia,17.438214700931823,3.1597589755157993,2015
55,Wisconsin,11.74708737334174,2.283110482025222,2015
56,Wyoming,10.821402917897244,2.5662549670964516,2015
72,Puerto Rico,45.6592371959788,6.868523295555615,2015
01,Alabama,18.02880810968724,3.242327246114873,2015
02,Alaska,10.093278731149246,4.116695917836713,2015
04,Arizona,16.97469195152653,3.1698585177499043,2015
05,Arkansas,18.484563179688163,2.6442446521460585,2015
06,California,15.05097813968633,3.623358269286116,2015
08,Colorado,11.24421660917638,2.778355063085372,2015
10,Delaware,12.089638389147657,2.9275826854727707,2015
11,District of Columbia,16.43787524470864,4.200211832890031,2015
09,Connecticut,10.21778469157751,3.7454266161610255,2015
12,Florida,15.37587774462303,3.3449504303429998,2015
13,Georgia,16.593355170800187,3.447908243480576,2015
16,Idaho,14.837545998924426,2.5468750944148697,2015
15,Hawaii,10.33694397119872,2.446558158930933,2015
17,Illinois,13.244624123104247,3.5834461832994493,2015
18,Indiana,14.097071157518188,2.9100651391003796,2015
19,Iowa,11.761391773549658,2.2224790238096688,2015
20,Kansas,12.669109962388907,2.374331176130574,2015
21,Kentucky,17.9443726819691,3.0239371294427326,2015
22,Louisiana,19.05370559253769,3.330490091043701,2015
23,Maine,12.985508467436178,2.7684664732857502,2015
24,Maryland,9.502795434404064,2.9269108073203904,2015
25,Massachusetts,11.068947439532016,3.2008609415193816,2015
