Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2014-01-01,10.93093184679909,11.895009272856472,10.562313848355789,10.604846954345703,1003488000.0,0.0,0.0,F
2014-02-01,10.718429058623084,11.06856424432119,10.289691623694413,10.997108459472656,712696400.0,0.0,0.0,F
2014-03-01,10.861346649880712,11.31152097345119,10.739871006308057,11.147171974182129,617354600.0,0.0,0.0,F
2014-04-01,11.1971887985377,11.783129535805495,11.097149853520941,11.540178298950195,664199500.0,0.0,0.0,F
2014-05-01,11.630362652300317,11.925622530035508,11.111857802670976,11.839205741882324,504923500.0,0.0,0.0,F
2014-06-01,11.889616736856004,12.494539797710923,11.795996939530495,12.415323257446289,558700700.0,0.0,0.0,F
2014-07-01,12.487340778479675,13.049055559095576,12.249692481598041,12.2568941116333,618952400.0,0.0,0.0,F
2014-08-01,12.366472773772083,12.707367645299765,12.127121732454302,12.627583503723145,420844900.0,0.0,0.0,F
2014-09-01,12.678356598681814,12.961227059023066,10.509690447597736,10.727282524108887,655672700.0,0.0,0.0,F
2014-10-01,10.712776872524458,10.756294873282103,9.617563939002233,10.219568252563477,910293700.0,0.0,0.0,F
2014-11-01,10.317905511926908,11.591178756143679,10.14228106269234,11.5106840133667,602657400.0,0.0,0.0,F
2014-12-01,11.547273002386646,11.803390810486997,10.193505650770197,11.342378616333008,593521500.0,0.0,0.0,F
2015-01-01,11.408238671310958,11.452144265982056,10.46426001148019,10.764284133911133,596890300.0,0.0,0.0,F
2015-02-01,10.903690100907381,12.286056856123496,10.89629759943852,12.079071044921875,524690500.0,0.0,0.0,F
2015-03-01,12.079071079169141,12.374764088884476,11.598569057147046,11.93122386932373,609978100.0,0.0,0.0,F
2015-04-01,11.946008613563288,11.946008613563288,11.60596130726191,11.679884910583496,539789600.0,0.0,0.0,F
2015-05-01,11.864624408356761,11.894472492326628,11.29751081292926,11.319896697998047,428759700.0,0.0,0.0,F
2015-06-01,11.439287025465061,11.68553385289117,11.0288754092101,11.200502395629883,578382200.0,0.0,0.0,F
2015-07-01,11.297511047884717,11.416903386247204,10.618465878087743,11.066187858581543,672444200.0,0.0,0.0,F
2015-08-01,11.284797928482158,11.337565623676296,7.869958820077378,10.455587387084961,596466400.0,0.0,0.0,F
2015-09-01,10.515894293816595,11.216954153039694,9.807296705379533,10.229439735412598,744638400.0,0.0,0.0,F
2015-10-01,10.372666509979325,11.940627643010394,10.116365046500144,11.164185523986816,668696500.0,0.0,0.0,F
2015-11-01,11.26256865047622,11.34633326765348,10.546760007285435,10.91227912902832,443767100.0,0.0,0.0,F
2015-12-01,10.904661338446664,11.133111097605212,10.204082464345387,10.729516983032227,587975700.0,0.0,0.0,F
2016-01-01,10.561987502786513,10.660982426752977,8.528785796158022,9.092294692993164,1087624700.0,0.0,0.0,F
2016-02-01,9.383205591886513,9.957847852200674,8.674742387252493,9.84764289855957,795878200.0,0.0,0.0,F
2016-03-01,10.241234265819743,10.910338271409273,10.012951599089083,10.626953125,723070900.0,0.0,0.0,F
2016-04-01,10.453772435959719,11.193723631012974,9.753181225522532,10.67418384552002,736240700.0,0.0,0.0,F
2016-05-01,10.879458930067624,10.974962501338034,10.362147729270841,10.73620319366455,543642100.0,0.0,0.0,F
2016-06-01,10.688451685908278,10.783955256270705,9.5503661441816,10.004008293151855,778155400.0,0.0,0.0,F
2016-07-01,10.250725193927051,11.17392702274435,9.717496420559334,10.075634956359863,756186500.0,0.0,0.0,F
2016-08-01,10.145885592568357,10.15393168145789,9.5746263258051,10.137840270996094,726884900.0,0.0,0.0,F
2016-09-01,10.186115206876611,10.274620649481083,9.598764533274002,9.711406707763672,746043700.0,0.0,0.0,F
2016-10-01,9.703361817072317,10.081518801531123,9.333250154493369,9.445892333984375,657689600.0,0.0,0.0,F
2016-11-01,9.596156533998254,10.182679065708559,9.017780331990936,9.74278736114502,736856500.0,0.0,0.0,F
